"_raw","_time",action,app,bunit,category,"change_type",city,country,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dest,"dest_asset_id","dest_asset_tag","dest_bunit","dest_category","dest_city","dest_country","dest_dns","dest_ip","dest_is_expected","dest_lat","dest_long","dest_mac","dest_nt_host","dest_owner","dest_pci_domain","dest_priority","dest_requires_av","dest_should_timesync","dest_should_update",dns,enabled,eventtype,host,"ids_type",index,ip,"is_expected",lat,linecount,long,mac,"nt_host",object,"object_category",owner,"pci_domain",pid,priority,process,product,protocol,"protocol_name",punct,range,"requires_av",severity,"should_timesync","should_update",signature,source,sourcetype,"splunk_server","splunk_server_group",src,"src_asset_id","src_asset_tag","src_bunit","src_category","src_city","src_country","src_dns","src_ip","src_is_expected","src_lat","src_long","src_mac","src_nt_host","src_owner","src_pci_domain","src_priority","src_requires_av","src_should_timesync","src_should_update",status,"status_description",tag,"tag::action","tag::app","tag::dest_requires_av","tag::dest_should_timesync","tag::dest_should_update","tag::eventtype","tag::is_expected","tag::requires_av","tag::should_timesync","tag::should_update","tag::signature","tag::sourcetype","tag::user_category","tag::user_identity_tag","tag::user_watchlist","threat_intel_source",timeendpos,timestartpos,transport,user,"user_bunit","user_category","user_email","user_endDate","user_first","user_identity","user_identity_tag","user_last","user_managedBy","user_nick","user_phone","user_phone2","user_prefix","user_priority","user_startDate","user_suffix","user_type","user_watchlist","user_work_city","user_work_country","user_work_lat","user_work_long",vendor,"vendor_action","vendor_product"
"Feb 04 19:27:00 10.11.36.48 auth|security:notice login: [ID 56 auth.notice] Login failure on /dev/pts/56 from 10.11.36.48 
","2020-02-04T19:27:00.000+0000",failure,login,,,,,,19,4,27,february,0,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.48",,,,,,,,"10.11.36.48",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:26:28 10.11.36.13 auth|security:notice login: [ID 33 auth.notice] Login failure on /dev/pts/33 from 10.11.36.13 
","2020-02-04T19:26:28.000+0000",failure,login,,,,,,19,4,26,february,28,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.13",,,,,,,,"10.11.36.13",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:26:21 10.11.36.5 auth|security:notice login: [ID 76 auth.notice] Login failure on /dev/pts/76 from 10.11.36.5 
","2020-02-04T19:26:21.000+0000",failure,login,,,,,,19,4,26,february,21,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.5",,,,,,,,"10.11.36.5",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:26:12 10.11.36.34 auth|security:notice login: [ID 51 auth.notice] Login failure on /dev/pts/51 from 10.11.36.34 
","2020-02-04T19:26:12.000+0000",failure,login,,,,,,19,4,26,february,12,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.34",,,,,,,,"10.11.36.34",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:26:03 10.11.36.12 auth|security:notice login: [ID 23 auth.notice] Login failure on /dev/pts/23 from 10.11.36.12 
","2020-02-04T19:26:03.000+0000",failure,login,,,,,,19,4,26,february,3,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.12",,,,,,,,"10.11.36.12",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:26:01 10.11.36.8 auth|security:notice login: [ID 27 auth.notice] Login failure on /dev/pts/27 from 10.11.36.8 
","2020-02-04T19:26:01.000+0000",failure,login,,,,,,19,4,26,february,1,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.8",,,,,,,,"10.11.36.8",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:25:24 10.11.36.37 auth|security:notice login: [ID 97 auth.notice] Login failure on /dev/pts/97 from 10.11.36.37 
","2020-02-04T19:25:24.000+0000",failure,login,,,,,,19,4,25,february,24,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.37",,,,,,,,"10.11.36.37",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:25:20 10.11.36.28 auth|security:notice login: [ID 162 auth.notice] Login failure on /dev/pts/162 from 10.11.36.28 
","2020-02-04T19:25:20.000+0000",failure,login,,,,,,19,4,25,february,20,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.28",,,,,,,,"10.11.36.28",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:25:00 10.11.36.41 auth|security:notice login: [ID 92 auth.notice] Login failure on /dev/pts/92 from 10.11.36.41 
","2020-02-04T19:25:00.000+0000",failure,login,,,,,,19,4,25,february,0,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.41",,,,,,,,"10.11.36.41",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 04 19:24:46 10.11.36.20 auth|security:notice login: [ID 123 auth.notice] Login failure on /dev/pts/123 from 10.11.36.20 
","2020-02-04T19:24:46.000+0000",failure,login,,,,,,19,4,24,february,46,tuesday,2020,local,"127.0.0.1",,,,,,,,,false,,,,,,untrust,,false,false,false,,,"err0r login_authentication nix_errors nix_security","127.0.0.1",,main,,,,2,,,,,,,,,,login,,,,"__::_..._|:_:_[__.]____///__..._",,,,,,,"auth.nix","linux_secure","prd-p-7534bdhjhnws",,"10.11.36.20",,,,,,,,"10.11.36.20",false,,,,,,untrust,,false,false,false,,,"authentication
error
failure
os
unix",failure,,,,,"authentication
error
os
unix",,,,,,,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
